交易明細,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14
交易編號,委託單編號,類型,訊號,日期,時間,價格,數量,獲利(¤),獲利(%),累積獲利 (¤),累積獲利 (%),最大可能獲利(¤),最大可能獲利 (%),最大可能虧損 (¤),最大可能虧損 (%)
1,1,進入Long,TXF_BreakOut_LE,43839,0.20833333333333334,11920,1,11100,1.8624161073825505,11100,1.11,13850,2.3238255033557045,-2000,-0.33557046979865773
,2,離開Long,TXF_Breakout_LX,43845,0.4479166666666667,12148,1,,,,,,,,
2,3,進入Long,TXF_BreakOut_LE,43846,0.041666666666666664,12084,1,-1600,-0.264812975835816,9500,0.95,0,0,-1450,-0.2399867593512082
,4,離開Long,TXF_Breakout_LX,43846,0.125,12058,1,,,,,,,,
3,5,進入Long,TXF_BreakOut_LE,43846,0.5729166666666666,12058,1,1700,0.2819704760325096,11200,1.1199999999999999,4950,0.8210316802123072,-1550,-0.2570907281472881
,6,離開Long,TXF_Holiday_LX,43851,0.125,12098,1,,,,,,,,
4,7,進入Long,TXF_BreakOut_LE,43865,0.53125,11553,1,3450,0.5972474681900806,14650,1.465,9400,1.6272829568077556,-4100,-0.7097723535012551
,8,離開Long,TXF_Breakout_LX,43868,0.4479166666666667,11628,1,,,,,,,,
5,9,進入Long,TXF_BreakOut_LE,43872,0.4479166666666667,11626,1,6500,1.1181833820746603,21150,2.1149999999999998,10650,1.8321004644761743,-850,-0.14622398073284018
,10,離開Long,TXF_Breakout_LX,43874,0.7916666666666666,11762,1,,,,,,,,
6,11,進入Long,TXF_BreakOut_LE,43875,0.125,11803,1,-2700,-0.45751080233838853,18450,1.8450000000000002,2300,0.38973142421418283,-2550,-0.4320935355418114
,12,離開Long,TXF_Breakout_LX,43876,0.125,11755,1,,,,,,,,
7,13,進入Long,TXF_BreakOut_LE,43878,0.7083333333333334,11771,1,-3850,-0.6541500297340922,14600,1.46,650,0.11044091411095064,-3700,-0.6286636649392575
,14,離開Long,TXF_Breakout_LX,43879,0.4479166666666667,11700,1,,,,,,,,
8,15,進入Long,TXF_BreakOut_LE,43880,0.875,11775,1,-4950,-0.8407643312101911,9650,0.9650000000000001,2600,0.4416135881104034,-4800,-0.8152866242038216
,16,離開Long,TXF_Breakout_LX,43881,0.53125,11682,1,,,,,,,,
9,17,進入Long,TXF_BreakOut_LE,43893,0.4479166666666667,11311,1,4050,0.7161170541950315,13700,1.37,9350,1.653257890549023,-5400,-0.9548227389267085
,18,離開Long,TXF_Breakout_LX,43896,0.125,11398,1,,,,,,,,
10,19,進入Long,TXF_BreakOut_LE,43900,0.5729166666666666,10979,1,-5500,-1.001912742508425,8200,0.8200000000000001,3350,0.6102559431642226,-5350,-0.9745878495309227
,20,離開Long,TXF_Breakout_LX,43901,0.5729166666666666,10875,1,,,,,,,,
11,21,進入Long,TXF_BreakOut_LE,43903,0.5729166666666666,9903,1,-11300,-2.2821367262445724,-3100,-0.31,22000,4.443098051095628,-11150,-2.2518428758961933
,22,離開Long,TXF_Breakout_LX,43906,0.5729166666666666,9683,1,,,,,,,,
12,23,進入Long,TXF_BreakOut_LE,43908,0.125,9479,1,-4050,-0.8545205190420931,-7150,-0.715,900,0.18989344867602068,-8850,-1.8672855786475366
,24,離開Long,TXF_Settlement_LX,43908,0.53125,9404,1,,,,,,,,
13,25,進入Long,TXF_BreakOut_LE,43920,0.9583333333333334,9545,1,-2300,-0.48192771084337355,-9450,-0.9450000000000001,8500,1.7810371922472499,-3000,-0.6286013619696176
,26,離開Long,TXF_Breakout_LX,43922,0.7083333333333334,9505,1,,,,,,,,
14,27,進入Long,TXF_BreakOut_LE,43929,0.5729166666666666,10107,1,-4250,-0.8410012862372612,-13700,-1.37,4350,0.8607895517957851,-5100,-1.0092015434847135
,28,離開Long,TXF_Breakout_LX,43931,0.20833333333333334,10028,1,,,,,,,,
15,29,進入Long,TXF_BreakOut_LE,43931,0.4479166666666667,10050,1,-1050,-0.208955223880597,-14750,-1.4749999999999999,6600,1.3134328358208955,-900,-0.1791044776119403
,30,離開Long,TXF_Breakout_LX,43934,0.4479166666666667,10035,1,,,,,,,,
16,31,進入Long,TXF_BreakOut_LE,43943,0.9583333333333334,10288,1,23400,4.548989113530326,8650,0.865,34000,6.60964230171073,-6800,-1.3219284603421462
,32,離開Long,TXF_Breakout_LX,43952,0.041666666666666664,10762,1,,,,,,,,
17,33,進入Long,TXF_BreakOut_LE,43956,0.875,10725,1,-3650,-0.6806526806526807,5000,0.5,1500,0.27972027972027974,-3500,-0.6526806526806527
,34,離開Long,TXF_Breakout_LX,43957,0.4479166666666667,10658,1,,,,,,,,
18,35,進入Long,TXF_BreakOut_LE,43958,0.53125,10824,1,2550,0.47117516629711753,7550,0.755,10550,1.949371766444937,-900,-0.1662971175166297
,36,離開Long,TXF_Breakout_LX,43963,0.4479166666666667,10881,1,,,,,,,,
