交易明細,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14
交易編號,委託單編號,類型,訊號,日期,時間,價格,數量,獲利(¤),獲利(%),累積獲利 (¤),累積獲利 (%),最大可能獲利(¤),最大可能獲利 (%),最大可能虧損 (¤),最大可能虧損 (%)
1,1,進入Long,BreakOut_LE,43890,0.25,8461.5,1,-69.5,-0.41068368492584056,-69.5,-0.06949999999999999,427,2.523193287242215,-429.5,-2.5379660816640075
,2,離開Long,Breakout_LX,43892,0.8333333333333334,8431.75,1,,,,,,,,
2,3,進入Long,BreakOut_LE,43892,0.9583333333333334,8517.25,1,445.5,2.615280753764419,376,0.376,966,5.670844462708033,-151.5,-0.8893715694619742
,4,離開Long,Breakout_LX,43894,0.041666666666666664,8745,1,,,,,,,,
3,5,進入Long,BreakOut_LE,43894,0.7916666666666666,8775.5,1,-195.5,-1.1138966440658653,180.5,0.1805,61.5,0.35040738419463274,-190.5,-1.0854082388467894
,6,離開Long,Breakout_LX,43894,0.9583333333333334,8682.75,1,,,,,,,,
4,7,進入Long,BreakOut_LE,43895,0.125,8818,1,-14,-0.07938308006350647,166.5,0.1665,257.5,1.4600816511680654,-22.5,-0.12757995010206397
,8,離開Long,Breakout_LX,43895,0.6666666666666666,8816,1,,,,,,,,
5,9,進入Long,BreakOut_LE,43900,0.375,8138.25,1,19.5,0.11980462630172334,186,0.186,410,2.518969065831106,-212.5,-1.305563235339293
,10,離開Long,Breakout_LX,43900,0.9166666666666666,8153,1,,,,,,,,
6,11,進入Long,BreakOut_LE,43901,0.20833333333333334,8364,1,-505,-3.0188904830224774,-319,-0.319,23,0.1374940219990435,-500,-2.9890004782400763
,12,離開Long,Breakout_LX,43901,0.5833333333333334,8116.5,1,,,,,,,,
7,13,進入Long,BreakOut_LE,43903,0.5833333333333334,7275.5,1,521,3.5805099305889634,202,0.202,1393.5,9.576661397842074,-23,-0.1580647378187066
,14,離開Long,Breakout_LX,43906,0.625,7541,1,,,,,,,,
8,15,進入Long,BreakOut_LE,43907,0.5833333333333334,7277.25,1,-428,-2.9406712700539352,-226,-0.22599999999999998,0,0,-423,-2.9063176337215295
,16,離開Long,Breakout_LX,43907,0.75,7068.25,1,,,,,,,,
9,17,進入Long,BreakOut_LE,43908,0.041666666666666664,7413,1,-38,-0.25630648860110616,-264,-0.264,242,1.6322676379333605,-401,-2.7047079455011467
,18,離開Long,NQ_Settlement_LX,43908,0.16666666666666666,7399,1,,,,,,,,
10,19,進入Long,BreakOut_LE,43909,0.20833333333333334,7212.5,1,145,1.0051993067590987,-119,-0.11900000000000001,828,5.74003466204506,-679.5,-4.710571923743501
,20,離開Long,Breakout_LX,43911,0,7290,1,,,,,,,,
11,21,進入Long,BreakOut_LE,43915,0.7083333333333334,7649.5,1,-544.5,-3.559056147460618,-663.5,-0.6635,211.5,1.382443296947513,-539.5,-3.5263742728282894
,22,離開Long,Breakout_LX,43915,0.9583333333333334,7382.25,1,,,,,,,,
12,23,進入Long,BreakOut_LE,43916,0.9583333333333334,7642,1,120,0.7851347814708192,-543.5,-0.5435,497.5,3.2550379481811045,-8,-0.05234231876472127
,24,離開Long,Breakout_LX,43917,0.5833333333333334,7707,1,,,,,,,,
13,25,進入Long,BreakOut_LE,43920,0.9166666666666666,7677.5,1,260.5,1.696515792901335,-283,-0.28300000000000003,554,3.607945294692283,-99,-0.6447411266688375
,26,離開Long,Breakout_LX,43921,0.875,7812.75,1,,,,,,,,
14,27,進入Long,BreakOut_LE,43924,0.20833333333333334,7624,1,-218,-1.4296956977964324,-501,-0.501,60,0.3934942287513116,-213,-1.3969045120671564
,28,離開Long,Breakout_LX,43924,0.5833333333333334,7520,1,,,,,,,,
15,29,進入Long,BreakOut_LE,43927,0.3333333333333333,7649,1,239.5,1.5655641260295463,-261.5,-0.2615,434.5,2.8402405543208262,-5,-0.03268401098182769
,30,離開Long,Breakout_LX,43927,0.9166666666666666,7773.75,1,,,,,,,,
16,31,進入Long,BreakOut_LE,43928,0.125,7961,1,212,1.3314910187162416,-49.5,-0.0495,679,4.2645396306996615,-102,-0.640623037306871
,32,離開Long,Breakout_LX,43929,0.125,8072,1,,,,,,,,
17,33,進入Long,BreakOut_LE,43930,0,8137.5,1,-15,-0.09216589861751152,-64.5,-0.0645,265,1.6282642089093702,-39,-0.23963133640552994
,34,離開Long,Breakout_LX,43930,0.7916666666666666,8135,1,,,,,,,,
18,35,進入Long,BreakOut_LE,43930,0.9166666666666666,8274,1,-198,-1.1965192168237855,-262.5,-0.2625,98.5,0.5952380952380952,-249,-1.504713560551124
,36,離開Long,US_Holiday_LX,43931,0.16666666666666666,8180,1,,,,,,,,
19,37,進入Long,BreakOut_LE,43935,0.125,8253.5,1,751,4.5495850245350455,488.5,0.48849999999999993,900,5.452232386260374,-80,-0.48464287877869994
,38,離開Long,Breakout_LX,43936,0.5833333333333334,8634,1,,,,,,,,
20,39,進入Long,BreakOut_LE,43938,0.3333333333333333,8932,1,-123.5,-0.6913345275414241,365,0.365,65,0.36386027765338114,-118.5,-0.6633452754142409
,40,離開Long,Breakout_LX,43938,0.6666666666666666,8875.25,1,,,,,,,,
21,41,進入Long,BreakOut_LE,43943,0.75,8552,1,57,0.3332553788587465,422,0.422,288.5,1.6867399438727781,-89.5,-0.5232694106641721
,42,離開Long,Breakout_LX,43944,0.4583333333333333,8585.5,1,,,,,,,,
22,43,進入Long,BreakOut_LE,43944,0.9166666666666666,8696.5,1,-180.5,-1.0377738170528374,241.5,0.2415,175,1.0061519001897314,-175.5,-1.0090266199045592
,44,離開Long,Breakout_LX,43945,0.125,8611.25,1,,,,,,,,
23,45,進入Long,BreakOut_LE,43945,0.8333333333333334,8662.5,1,336,1.9393939393939394,577.5,0.5775,464.5,2.681096681096681,-164,-0.9466089466089466
,46,離開Long,Breakout_LX,43948,0.9166666666666666,8835.5,1,,,,,,,,
24,47,進入Long,BreakOut_LE,43949,0.7916666666666666,8940.25,1,-302,-1.688990800033556,275.5,0.2755,6,0.033556108609938205,-297,-1.6610273761919407
,48,離開Long,Breakout_LX,43949,0.9583333333333334,8794.25,1,,,,,,,,
25,49,進入Long,BreakOut_LE,43950,0.9166666666666666,8894.25,1,312.5,1.7567529583719816,588,0.588,496,2.78831829552801,-161,-0.9050791241532451
,50,離開Long,Breakout_LX,43951,0.7916666666666666,9055.5,1,,,,,,,,
26,51,進入Long,BreakOut_LE,43956,0.9166666666666666,8926,1,-91.5,-0.5125476137127493,496.5,0.4965,182,1.0194936141608784,-86.5,-0.4845395473896483
,52,離開Long,Breakout_LX,43957,0.375,8885.25,1,,,,,,,,
27,53,進入Long,BreakOut_LE,43959,0.08333333333333333,9115.25,1,95,0.5211047420531527,591.5,0.5915,240.5,1.319217794355613,-104,-0.5704725597213461
,54,離開Long,Breakout_LX,43959,0.9166666666666666,9167.75,1,,,,,,,,
28,55,進入Long,BreakOut_LE,43960,0.041666666666666664,9207.5,1,0.5,0.0027151778441487917,592,0.592,148.5,0.8064078197121911,-119,-0.6462123269074125
,56,離開Long,Breakout_LX,43962,0.7083333333333334,9212.75,1,,,,,,,,
29,57,進入Long,BreakOut_LE,43963,0.125,9322.75,1,-187.5,-1.0056045694671636,404.5,0.40449999999999997,27,0.14480705800327157,-182.5,-0.978788447614706
,58,離開Long,Breakout_LX,43963,0.4583333333333333,9234,1,,,,,,,,
30,59,進入Long,BreakOut_LE,43966,0.20833333333333334,9088.5,1,-82,-0.4511195466798702,322.5,0.3225,103,0.5666501622930077,-77,-0.4236122572481708
,60,離開Long,Breakout_LX,43966,0.7916666666666666,9052.5,1,,,,,,,,
31,61,進入Long,BreakOut_LE,43969,0.875,9278,1,46,0.2478982539340375,368.5,0.3685,162,0.8730329812459583,-87,-0.46885104548394047
,62,離開Long,Breakout_LX,43970,0.4583333333333333,9306,1,,,,,,,,
32,63,進入Long,BreakOut_LE,43971,0,9397.75,1,-222.5,-1.1837939932430634,146,0.146,32,0.17025351812933945,-217.5,-1.157191881035354
,64,離開Long,Breakout_LX,43971,0.16666666666666666,9291.5,1,,,,,,,,
33,65,進入Long,BreakOut_LE,43971,0.9583333333333334,9461.25,1,-72,-0.380499405469679,74,0.074,79,0.4174924032236755,-67,-0.3540758356453957
,66,離開Long,Breakout_LX,43972,0.4583333333333333,9430.25,1,,,,,,,,
34,67,進入Long,BreakOut_LE,43974,0.125,9406.75,1,265.5,1.411220666011109,339.5,0.3395,388.5,2.0650065112817924,-69.5,-0.3694155792383129
,68,離開Long,Breakout_LX,43977,0.875,9544.5,1,,,,,,,,
35,69,進入Long,BreakOut_LE,43981,0.16666666666666666,9498,1,132.5,0.6975152663718678,472,0.47200000000000003,338.5,1.7819540955990736,-99.5,-0.523794483049063
,70,離開Long,Breakout_LX,43984,0.9166666666666666,9569.25,1,,,,,,,,
36,71,進入Long,BreakOut_LE,43985,0.20833333333333334,9655.75,1,-12,-0.06213913989073868,460,0.45999999999999996,77,0.3987261476322399,-46,-0.2382000362478316
,72,離開Long,Breakout_LX,43985,0.875,9654.75,1,,,,,,,,
37,73,進入Long,BreakOut_LE,43985,0.9583333333333334,9698.75,1,-108,-0.5567727799974224,352,0.35200000000000004,5,0.02577651759247326,-103,-0.530996262404949
,74,離開Long,Breakout_LX,43986,0.041666666666666664,9649.75,1,,,,,,,,
38,75,進入Long,BreakOut_LE,43986,0.16666666666666666,9706.25,1,-129,-0.6645202833226015,223,0.22300000000000003,33.5,0.17256922086284612,-124,-0.6387636831938185
,76,離開Long,Breakout_LX,43986,0.5,9646.75,1,,,,,,,,
39,77,進入Long,BreakOut_LE,43987,0.9583333333333334,9778.5,1,49,0.2505496753080738,272,0.272,188.5,0.9638492611341207,-14.5,-0.07414225085647083
,78,離開Long,Breakout_LX,43990,0.6666666666666666,9808,1,,,,,,,,
40,79,進入Long,BreakOut_LE,43993,0.08333333333333333,10073.25,1,-93.5,-0.46410046410046407,178.5,0.1785,159.5,0.7917007917007918,-88.5,-0.4392822574640756
,80,離開Long,Breakout_LX,43993,0.5,10031.5,1,,,,,,,,
41,81,進入Long,BreakOut_LE,43998,0.08333333333333333,9687.75,1,316.5,1.633506232097236,495,0.49500000000000005,622,3.2102397357487553,-5,-0.02580578565714433
